size,steps,evolution,"processor number","thread number","total time","evolution time","average propagation time"
4,1,1,4,2,183733,177309,30144
500,10,1,4,2,362454,325084,2660
500,10,1,4,2,347766,310869,1311
500,100,1,1,1,928925,928051,3
500,100,1,1,1,871163,870342,3
500,100,1,1,2,868629,867138,3
500,100,1,1,4,885598,884636,3
500,100,1,1,8,992570,991571,3
500,100,1,1,16,910849,909564,4
500,100,1,1,32,946589,944718,3
500,100,1,1,64,1018308,1015221,4
500,1000,1,1,1,14676538,14675720,3
500,1000,1,1,2,16188425,16187625,3
500,1000,1,1,4,15935998,15935120,3
500,1000,1,1,8,16032277,16031222,3
500,1000,1,1,16,16067314,16065961,4
500,1000,1,1,32,16373983,16371861,4
500,1000,1,1,64,17172552,17169406,4
1000,1000,1,1,1,63178660,63175684,6
1000,1000,1,1,2,63301278,63298080,7
1000,1000,1,1,4,63486871,63483449,7
1000,1000,1,1,8,63584086,63580768,7
1000,1000,1,1,16,63495326,63491412,7
1000,1000,1,1,32,63748459,63743821,7
1000,1000,1,1,64,64095804,64089412,7
1000,100,1,1,1,6310036,6306970,7
1000,100,1,1,2,6344230,6341245,8
1000,100,1,1,4,6337737,6334547,7
1000,100,1,1,8,6356747,6353460,7
1000,100,1,1,16,6367457,6363714,7
1000,100,1,1,32,6362547,6358182,7
1000,100,1,1,64,6427883,6421481,7
1000,100,1,1,8,50549399,50613371,7
1000,100,1,1,8,50690247,50731321,7
1000,100,1,1,8,50692079,50737007,7
1000,100,1,1,8,50693102,50760558,578
1000,100,1,1,8,50700189,50749254,326
1000,100,1,1,8,50681987,50741908,7
1000,100,1,1,8,50708508,50737612,6
1000,100,1,1,8,50708559,50705620,6
1000,10,1,1,8,4847681,4907773,6
1000,10,1,1,8,4827690,4896969,11
1000,10,1,1,8,4853785,4900686,6
1000,10,1,1,8,4862714,4918740,6
1000,10,1,1,8,4867967,4918539,6
1000,10,1,1,8,4881621,4922680,6
1000,10,1,1,8,4886568,4915638,6
1000,10,1,1,8,4887784,4884750,7
1000,10,1,1,8,4701472,4768499,7
1000,10,1,1,8,4888689,4951710,6
1000,10,1,1,8,4890924,4941781,6
1000,10,1,1,8,4893151,4940203,6
1000,10,1,1,8,4898266,4941167,6
1000,10,1,1,8,4903489,4928600,6
1000,10,1,1,8,4903635,4974352,10
1000,10,1,1,8,4910032,4907074,6
1000,10,1,1,8,4846221,4914710,11
1000,10,1,1,8,4848459,4901495,6
1000,10,1,1,8,4852906,4913925,7
1000,10,1,1,8,4860092,4907398,6
1000,10,1,1,8,4837333,4902369,7
1000,10,1,1,8,4865536,4907601,6
1000,10,1,1,8,4868442,4893545,6
1000,10,1,1,8,4873197,4870297,6
1000,10,1,1,8,4816285,4885066,11
1000,10,1,1,8,4858924,4905776,7
1000,10,1,1,8,4862214,4905278,6
1000,10,1,1,8,4863634,4924450,7
1000,10,1,1,8,4877386,4930414,7
1000,10,1,1,8,4878091,4943122,7
1000,10,1,1,8,4881397,4906479,6
1000,10,1,1,8,4888190,4885235,6
1000,10,1,1,8,4871906,4933927,7
1000,10,1,1,8,4875699,4917664,6
1000,10,1,1,8,4875973,4945587,2811
1000,10,1,1,8,4868587,4934409,6
1000,10,1,1,8,4889568,4943590,6
1000,10,1,1,8,4899889,4947336,6
1000,10,1,1,8,4903493,4900491,6
1000,10,1,1,8,4904517,4929456,6
1000,10,1,1,8,4893604,4964155,11
1000,10,1,1,8,4895804,4950836,6
1000,10,1,1,8,4943779,5006780,6
1000,10,1,1,8,4946287,4971381,6
1000,10,1,1,8,4951245,4998926,6
1000,10,1,1,8,4956122,4953212,6
1000,10,1,1,8,4956479,5023274,6
1000,10,1,1,8,4959987,5002062,6
1000,10,1,1,8,4755956,4822521,7
1000,10,1,1,8,4876521,4928448,7
1000,10,1,1,8,4893502,4964232,10
1000,10,1,1,8,4894204,4941600,6
1000,10,1,1,8,4894661,4957660,6
1000,10,1,1,8,4899228,4896220,6
1000,10,1,1,8,4901725,4926804,7
1000,10,1,1,8,4906476,4962027,6
5760,10,1,4,1,25661365,24266162,140298
5760,10,1,4,1,25710859,24207419,130747
5760,10,1,4,1,25828935,24344642,138771
5760,10,1,4,1,25864168,24433620,139210
5760,10,1,4,4,7182481,6989954,82251
5760,10,1,4,1,5171105,5101940,3730
5760,1000,1,4,64,581251609,581175324,24135
4,1,1,1,64,35672,9108,43
500,1,1,1,64,22582,19129,55
1000,1,1,1,64,64929,57608,55
2000,1,1,1,64,217339,200111,258
2000,1,1,1,64,217759,200906,267
2500,1,1,1,64,331668,307800,292
2750,1,1,1,64,400507,372165,274
2875,1,1,1,64,437858,405791,284
1920,1000,1,1,64,239275567,239259724,33
1920,1000,1,1,64,250532465,250516541,46
1920,1000,1,1,64,247556594,247540577,26
1920,1000,1,2,64,125833415,125822970,46
1920,1000,1,4,64,63860569,63848344,157
1920,1000,1,2,1,134309149,134303177,101
1920,1000,1,2,2,134317489,134311423,60
1920,1000,1,2,4,134614172,134607899,46
1920,1000,1,2,8,134685361,134678964,47
1920,1000,1,2,16,134758254,134751436,53
1920,1000,1,2,32,135238281,135230080,44
1920,1000,1,2,64,135629907,135619640,46
