library;precision;dim_M;dim_N;time;unit;GFLOPS;platform;nthreads;allocation policy
openblas;double;2000;2000;0.107141333;0;149.335458;EPYC;64;default
openblas;double;4000;4000;0.668501862;0;191.472915;EPYC;64;default
openblas;double;6000;6000;1.756256965;1;245.977672;EPYC;64;default
openblas;double;8000;8000;2.9445652;2;347.759323;EPYC;64;default
openblas;double;10000;10000;4.299582196;4;465.161476;EPYC;64;default
openblas;double;12000;12000;5.594055855;5;617.798622;EPYC;64;default
openblas;double;14000;14000;9.221777295;9;595.113049;EPYC;64;default
openblas;double;16000;16000;9.331443743;9;877.892020;EPYC;64;default
openblas;double;18000;18000;17.147549;17;680.213830;EPYC;64;default
openblas;double;20000;20000;17.5181895;17;938.316320;EPYC;64;default
mkl;double;2000;2000;0.78581037;0;203.611464;EPYC;64;default
mkl;double;4000;4000;0.236883815;0;540.349285;EPYC;64;default
mkl;double;6000;6000;0.740483091;0;583.402923;EPYC;64;default
mkl;double;8000;8000;1.789656804;1;572.176742;EPYC;64;default
mkl;double;10000;10000;3.456870109;3;578.558042;EPYC;64;default
mkl;double;12000;12000;5.291990513;5;653.062395;EPYC;64;default
mkl;double;14000;14000;8.819026171;8;622.290930;EPYC;64;default
mkl;double;16000;16000;9.434744581;9;868.279997;EPYC;64;default
mkl;double;18000;18000;15.716069;15;742.170337;EPYC;64;default
mkl;double;20000;20000;19.540249;19;818.822721;EPYC;64;default
mkl;double;2000;2000;0.39024312;0;410;EPYC;64;threads
mkl;double;6500;6500;0.978351923;0;561;EPYC;64;threads
mkl;double;11000;11000;4.4509972;4;573;EPYC;64;threads
mkl;double;15500;15500;9.194723728;9;810;EPYC;64;threads
mkl;double;20000;20000;26.338639;26;607;EPYC;64;threads
openblas;double;2000;2000;0.43798329;0;365;EPYC;64;threads
openblas;double;6500;6500;0.798112447;0;688;EPYC;64;threads
openblas;double;11000;11000;3.11925398;3;803;EPYC;64;threads
openblas;double;15500;15500;9.543980135;9;780;EPYC;64;threads
openblas;double;20000;20000;18.889442;18;847;EPYC;64;threads
mkl;double;2000;2000;0.42998690;;372.104359;EPYC;64;cores
mkl;double;6500;6500;0.976621957;;562.397759;EPYC;64;cores
mkl;double;11000;11000;3.630309529;;733.270808;EPYC;64;cores
mkl;double;15500;15500;12.438849483;;598.749105;EPYC;64;cores
mkl;double;20000;20000;25.288781414;;632.691617;EPYC;64;cores
openblas;double;2000;2000;0.37914018;0;422;EPYC;64;cores
openblas;double;6500;6500;0.755500128;0;727;EPYC;64;cores
openblas;double;11000;11000;3.7557036;3;838;EPYC;64;cores
