library;precision;dim_M;dim_N;time;unit;GFLOPS;platform;nthreads;allocation policy
mkl;double;2000;2000;0.39024312;0;410;EPYC;64;threads
mkl;double;6500;6500;0.978351923;0;561;EPYC;64;threads
mkl;double;11000;11000;4.4509972;4;573;EPYC;64;threads
mkl;double;15500;15500;9.194723728;9;810;EPYC;64;threads
mkl;double;20000;20000;26.338639;26;607;EPYC;64;threads
openblas;double;2000;2000;0.43798329;0;365;EPYC;64;threads
openblas;double;6500;6500;0.798112447;0;688;EPYC;64;threads
openblas;double;11000;11000;3.11925398;3;803;EPYC;64;threads
openblas;double;15500;15500;9.543980135;9;780;EPYC;64;threads
openblas;double;20000;20000;18.889442;18;847;EPYC;64;threads
mkl;double;2000;2000;0.42998690;;372.104359;EPYC;64;cores
mkl;double;6500;6500;0.976621957;;562.397759;EPYC;64;cores
mkl;double;11000;11000;3.630309529;;733.270808;EPYC;64;cores
mkl;double;15500;15500;12.438849483;;598.749105;EPYC;64;cores
mkl;double;20000;20000;25.288781414;;632.691617;EPYC;64;cores
openblas;double;2000;2000;0.37914018;0;422;EPYC;64;cores
openblas;double;6500;6500;0.755500128;0;727;EPYC;64;cores
openblas;double;11000;11000;3.7557036;3;838;EPYC;64;cores
openblas;double;15500;15500;6.967980744;6;1069;EPYC;64;cores
openblas;double;20000;20000;18.767523193;;852.536578;EPYC;64;cores
mkl;double;2000;2000;0.62523239;;255.904848;EPYC;64;sockets
mkl;double;6500;6500;0.948259033;;579.219370;EPYC;64;sockets
mkl;double;11000;11000;4.515990556;;589.460932;EPYC;64;sockets
mkl;double;15500;15500;5.64620382;;1470.544570;EPYC;64;sockets
mkl;double;20000;20000;24.342227162;;657.294006;EPYC;64;sockets
openblas;double;2000;2000;0.60347434;0;265.131406;EPYC;64;sockets
openblas;double;6500;6500;1.235856991;0;444.428444;EPYC;64;sockets
openblas;double;11000;11000;4.314382647;3;617.006005;EPYC;64;sockets
openblas;double;15500;15500;6.630417096;6;1123.270209;EPYC;64;sockets
openblas;double;20000;20000;16.521357854;;968.443402;EPYC;64;sockets
